feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1283	Treatment	Gem	-6.19897087454345	0.775529249026829	8	6	0.000204424867522437	0.0122654920513462
X1282	Treatment	Gem	-8.66389456048305	2.25670938692283	8	8	0.00856717667073057	0.242675972283227
X1598	Treatment	Gem	6.95375640212393	2.21885307433977	8	8	0.0202229976902689	0.242675972283227
X308354	Treatment	Gem	-3.9319801136408	1.2390535092919	8	4	0.0192364381886675	0.242675972283227
X324831	Treatment	Gem	7.76567030332303	2.47170506750055	8	7	0.0200213777103031	0.242675972283227
X1408186	Treatment	Gem	7.19987498848677	2.56014264790237	8	8	0.0306634370603723	0.254255748586959
X1712675	Treatment	Gem	1.05720467262397	0.3992700373182	8	3	0.0381383622880439	0.254255748586959
X2107999	Treatment	Gem	0.945339928381165	0.329490037376447	8	3	0.0284605810618719	0.254255748586959
X2690380	Treatment	Gem	0.896240625180289	0.329028506338235	8	3	0.0344638860799796	0.254255748586959
X2724150	Treatment	Gem	3.55759440324557	1.40146184966784	8	4	0.044170886380885	0.26502531828531
X470	Treatment	Gem	-1.80236334140724	1.48781877934686	8	2	0.271278724137807	0.40292567971651
X569	Treatment	Gem	-0.623691172937395	0.373982928186693	8	2	0.146420941012111	0.40292567971651
X1290	Treatment	Gem	-4.89080720621194	2.34913414216997	8	6	0.0825105810119464	0.40292567971651
X29486	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.40292567971651
X41202	Treatment	Gem	-0.975575831528216	0.684127898892568	8	2	0.203755129477152	0.40292567971651
X47884	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.40292567971651
X261164	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.40292567971651
X349967	Treatment	Gem	-0.635142095340675	0.382941358931051	8	2	0.148271140500863	0.40292567971651
X756892	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.40292567971651
X768493	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.40292567971651
X985762	Treatment	Gem	-0.896240625180289	0.610262381906364	8	2	0.192320805162405	0.40292567971651
X1032069	Treatment	Gem	-0.250000000000001	0.25	8	1	0.355917683749581	0.40292567971651
X1699624	Treatment	Gem	-0.25	0.25	8	1	0.355917683749581	0.40292567971651
X2546450	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.40292567971651
X495	Treatment	Gem	-2.37892495957101	2.05912618770421	8	2	0.291890472516717	0.40292567971651
X487	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.40292567971651
X29384	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.40292567971651
X33033	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.40292567971651
X334413	Treatment	Gem	-2.53472792953569	2.21397690226083	8	2	0.295866896475213	0.40292567971651
X1662285	Treatment	Gem	-0.25	0.25	8	1	0.355917683749581	0.40292567971651
X2231055	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.40292567971651
X28116	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X182773	Treatment	Gem	1.08048202372184	0.783445416799931	8	2	0.217054779925678	0.40292567971651
X371601	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X679935	Treatment	Gem	1.14624062518029	0.846388693623389	8	2	0.224427472056466	0.40292567971651
X929102	Treatment	Gem	0.769500628000318	0.495779653165267	8	2	0.17162380785757	0.40292567971651
X1384484	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X1796613	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X1796646	Treatment	Gem	0.702847608823191	0.438287982206162	8	2	0.159918866869228	0.40292567971651
X1834205	Treatment	Gem	0.925109929535274	0.636989085752581	8	2	0.196623462568549	0.40292567971651
X2576606	Treatment	Gem	2.78613296100348	1.42398208922842	8	3	0.0981596228594088	0.40292567971651
X2585119	Treatment	Gem	1.24086853099372	0.93764369061389	8	2	0.233896654130404	0.40292567971651
X2610895	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X2650158	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X945844	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X285	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X42858	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X135719	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X262209	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X857417	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X1945662	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X157687	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X767453	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.40292567971651
X74426	Treatment	Gem	-3.42538076664361	3.6838734750007	8	2	0.388338064545351	0.426252881431373
X535289	Treatment	Gem	-3.18766627995747	3.44674476170729	8	2	0.390731807978759	0.426252881431373
X40324	Treatment	Gem	-2.39530014548124	2.65708728868343	8	2	0.402070465334838	0.430789784287326
X28090	Treatment	Gem	-1.68872187554087	1.95477428638211	8	2	0.420833388512173	0.435344884667765
X490	Treatment	Gem	-1.78317848058631	2.04849084301572	8	2	0.417497712706396	0.435344884667765
X1605	Treatment	Gem	-0.396240625180289	0.941584086291229	8	3	0.688540948301238	0.700211133865665
X1622	Treatment	Gem	0.76571848583705	3.24081648237074	8	5	0.821079751749309	0.821079751749309
